,mean,std,count
historian,-0.9989667329753024,0.0,1.0
Beautiful,-0.9988074806555058,0.0,1.0
personality,-0.8845099159473894,0.0,1.0
blank,-0.8840579710144928,0.46737726077093045,69.0
counseling,-0.8497001104869901,0.0,1.0
##gan,-0.7387433897333343,0.0,1.0
floating,-0.6254709984407307,0.0,1.0
##rte,-0.5937830280213879,0.0,1.0
contacts,-0.570231623437204,0.0,1.0
cognitive,-0.5682255296523612,0.0,1.0
bothered,-0.5388651198262661,0.0,1.0
##coming,-0.5310749466255742,0.0,1.0
sickness,-0.5239421999648345,0.0,1.0
bizarre,-0.5206237593604104,0.0,1.0
milestone,-0.518844004185225,0.0,1.0
urgency,-0.49757886453433814,0.0,1.0
Progress,-0.48417829946747715,0.1437263483180907,2.0
See,-0.4744359377650885,0.4000428007622574,19.0
shorter,-0.4643824676207023,0.0,1.0
##rod,-0.4568623127872119,0.0,1.0
OS,-0.45196150114940215,0.14427096785820612,10.0
##gas,-0.43994636266258363,0.0,1.0
##MI,-0.4375100446106738,0.0,1.0
states,-0.4356636991632696,0.0,1.0
bringing,-0.4327133878729216,0.0,1.0
##ologist,-0.4313147795737953,0.0,1.0
pleasant,-0.42969673018021576,0.0,1.0
transferred,-0.42578082624735203,0.0,1.0
##am,-0.42359687450221134,0.0,1.0
28,-0.4223990755564073,0.0,1.0
tolerate,-0.4167078364359349,0.07140227334535612,4.0
Small,-0.4123986318810518,0.0,1.0
##ssion,-0.4065848169497026,0.0,1.0
##ding,-0.3998270511141688,0.0,1.0
online,-0.39674976364411113,0.0,1.0
isolated,-0.39638431374759325,0.0,1.0
twins,-0.3924156414656678,0.0,1.0
##erne,-0.39070169292202556,0.0,1.0
school,-0.3870191410143715,0.0,1.0
offer,-0.38610073687281515,0.0,1.0
certified,-0.376359910872347,0.0,1.0
##eria,-0.3721700753563099,0.0,1.0
##ching,-0.37206658032130474,0.0,1.0
##roach,-0.37122392891577505,0.22249592335027787,4.0
thunder,-0.3680453525892787,0.0,1.0
solving,-0.3677719012905953,0.18187304028891987,2.0
##sion,-0.3674457530381934,0.08904375880506635,2.0
pathway,-0.3673730755078058,0.0,1.0
specialists,-0.3670343685164348,0.0,1.0
recovery,-0.36376617972320685,0.14950555009332814,3.0
##ures,-0.3594875422179002,0.0,1.0
treating,-0.3594131901786302,0.0,1.0
childhood,-0.35774447771637724,0.0,1.0
##lent,-0.3547266998884178,0.1028392728815834,2.0
certificate,-0.35320702333566834,0.0,1.0
credit,-0.35313934743203745,0.0,1.0
cop,-0.35258252024535336,0.3276120897183989,2.0
pseudo,-0.3496734022327571,0.0,1.0
##wl,-0.3483859511893107,0.0,1.0
##ular,-0.3468011451260324,0.0,1.0
success,-0.34647166180488415,0.12546290762922555,9.0
64,-0.34616004957834057,0.0,1.0
bilateral,-0.3460860193045322,0.0,1.0
overwhelmed,-0.3425565293066154,0.0,1.0
##so,-0.3412501819880318,0.0,1.0
discharged,-0.3365958886278447,0.04988196199280855,3.0
autonomous,-0.3365185074004447,0.0,1.0
Wide,-0.33315025166002765,0.0,1.0
Clinical,-0.3327129941290751,0.04308188343681191,2.0
improvements,-0.33261207309339574,0.0,1.0
turn,-0.33073216737954353,0.0,1.0
##fuse,-0.33069523453754984,0.0,1.0
31,-0.3304783698706537,0.2109848419515862,2.0
##tly,-0.3304223475898212,0.0,1.0
talent,-0.3303826085333902,0.0,1.0
arm,-0.33030033206368153,0.18778885236171225,4.0
##oper,-0.3301999166542754,0.22731542763215826,2.0
organic,-0.3301938577137967,0.0,1.0
tuning,-0.32964007873443246,0.0,1.0
sound,-0.3294876062801022,0.1090862477792733,2.0
