,mean,std,count
blank,-1.0,0.0,69.0
*,-1.0,0.0,1.0
extraction,-0.9308373915079722,0.0,1.0
##section,-0.8201174357123436,0.0,1.0
##ologies,-0.6840831288769869,0.0,1.0
implemented,-0.6502044272940537,0.0,1.0
sob,-0.6336029176196321,0.18423671322412344,3.0
hardware,-0.6078648685158932,0.0,1.0
Crystal,-0.5817383512912966,0.2190000237965331,2.0
burns,-0.5738746775237367,0.07305510423310874,2.0
##sion,-0.5633356916356222,0.12681647352047593,2.0
##rilla,-0.550516309254939,0.0,1.0
casts,-0.5480081664115701,0.18338784200747302,2.0
NH,-0.544478756424218,0.0,1.0
replacement,-0.5199282974649269,0.37697114917808433,2.0
Sep,-0.5041004691404737,0.0,1.0
Ang,-0.5040127613642797,0.0,1.0
##IB,-0.5016542836705729,0.11541045672578262,2.0
pulses,-0.5004924353723088,0.0,1.0
tree,-0.48993588173090435,0.0,1.0
##ways,-0.4853937878180106,0.35483499760104237,2.0
communities,-0.48370420537378755,0.0,1.0
fracture,-0.4804413049365026,0.22589007094996053,53.0
comfortably,-0.47693207655711767,0.0,1.0
##zure,-0.4763299302944859,0.0,1.0
##lap,-0.471726660187706,0.0,1.0
ankles,-0.46644623580665284,0.0,1.0
shortly,-0.46048934975348343,0.0,1.0
below,-0.4575194401634676,0.5269724506817888,11.0
##SA,-0.4555475801868057,0.15133196532270887,3.0
lifting,-0.4552308290175364,0.0,1.0
lid,-0.45354480323143825,0.0,1.0
foot,-0.4531769608823801,0.2608012345239352,2.0
trauma,-0.45065066079412835,0.2289552232495659,62.0
instrumentation,-0.444497808686203,0.0,1.0
lace,-0.4398759925205768,0.20916055084743476,37.0
##biology,-0.43909544483948926,0.0,1.0
##ively,-0.435068940454528,0.15176695302207382,2.0
##ger,-0.4335547732037197,0.0,1.0
##location,-0.42633930301468964,0.28018933495711545,12.0
Teaching,-0.4214634316908789,0.4596095462127125,2.0
avoid,-0.41897249171794304,0.35200320076394853,2.0
casting,-0.4185375448349788,0.22209599832411578,17.0
pseudo,-0.41416767859163184,0.0,1.0
measurements,-0.41354153065520605,0.0,1.0
surrounding,-0.4122210623601793,0.0,1.0
sources,-0.41061445017212045,0.25119758449710666,4.0
##bri,-0.4082485428527195,0.22431402033675937,5.0
combat,-0.408110384642019,0.3043177705659436,2.0
axis,-0.4078784810251525,0.0,1.0
contacts,-0.4047798345312814,0.0,1.0
examine,-0.4044170450766159,0.3847865293641557,2.0
opening,-0.4003354346251751,0.0,1.0
walked,-0.40015867173994546,0.035936633723445244,2.0
lines,-0.39774649802407214,0.24796931280917384,4.0
pocket,-0.39606009449902446,0.0,1.0
##bow,-0.39214879185904383,0.00600937483968686,2.0
##formed,-0.391725126581382,0.21282827945898272,30.0
##uma,-0.3899821539888846,0.1937769682328581,8.0
stages,-0.3864559879066591,0.19131225678001512,2.0
