,mean,std,count
*,-1.0,0.0,1.0
##am,-0.9641294194780018,0.0,1.0
remember,-0.8415762074358314,0.1311581494935869,7.0
Know,-0.8266894069565448,0.0671902741724888,3.0
positively,-0.8064642780475464,0.0,1.0
proposed,-0.7996480949370498,0.0,1.0
Focus,-0.7895993411815179,0.0,1.0
Remember,-0.7850133226669141,0.15472902714840336,21.0
compression,-0.781650028050166,0.0,1.0
Review,-0.7490010216781231,0.21839164138392642,8.0
encourage,-0.7388570697274712,0.11277877983404985,5.0
pathway,-0.7334430892776338,0.0,1.0
Be,-0.6555425482347558,0.20984849440739978,3.0
##ues,-0.6358469034068328,0.0,1.0
Above,-0.6271159580373039,0.21236088072714296,2.0
Goal,-0.6234665986994501,0.0,1.0
Need,-0.6178568076287762,0.23022479359739365,26.0
Make,-0.6086767654798797,0.209050446270759,7.0
recommend,-0.6023131470193306,0.0,1.0
shorter,-0.5961793919706182,0.0,1.0
##ue,-0.5937363033437033,0.12632647534436584,18.0
consider,-0.5933771067162061,0.2790363009285549,20.0
Bone,-0.5928835156107902,0.0,1.0
Try,-0.5901303607397225,0.10635007081314406,5.0
dropped,-0.5848863019519079,0.0,1.0
comment,-0.5647562341892485,0.0,1.0
Teaching,-0.5620913151405049,0.23523796791997992,2.0
Important,-0.5570061060527591,0.0,1.0
address,-0.5537172447247438,0.08145788021292188,2.0
directions,-0.5469044988481244,0.0,1.0
##urage,-0.5324970627270841,0.15021122296042874,5.0
Patel,-0.5244553001869349,0.0,1.0
recommendation,-0.5215063502560701,0.0,1.0
Consider,-0.5108793860627576,0.2458996737374389,12.0
avoiding,-0.49786170109291406,0.0,1.0
remind,-0.4712293607886154,0.39178562571002146,2.0
avoid,-0.4710230305207259,0.1713354047439303,2.0
Getting,-0.45979586414225676,0.0,1.0
wouldn,-0.45515246656616115,0.0,1.0
measurement,-0.4514987125509756,0.0,1.0
##sure,-0.45106788737253434,0.2271071574240712,11.0
dynamic,-0.4483776835764037,0.0,1.0
intervene,-0.43999831076477885,0.26352820770308305,3.0
research,-0.4390919268593442,0.12678127691365795,2.0
Run,-0.43114399450811386,0.0,1.0
